GEO.id,GEO.id2,GEO.display-label,GEO.annotation.id,NAICS.id,NAICS.display-label,NAICS.annotation.id,YEAR.id,EMP,EMP_S,PAYANN,BENEFIT,BENEFIT_S,BENHEA,BENPEB,BENPEC,BENOTH,EMPAVPW,HOURS,PAYANPW,CSTMTOT,CSTMTOT_S,CSTMPRT,CSTRSL,CSTCNT,CSTFU,CSTFU_S,ELECPCH,CSTELEC,CSTELEC_S,ELECGEN,ELECSLD,RCPTOT,RCPTOT_S,RCPTPLM,RCPTRAN,MSCTOT,MSCRSLTT,MSCCNTTT,MSCOTH,VALADD,VALADD_S,INVTOTE,INVTOTE_S,INVFINE,INVFINE_S,INVWIPE,INVWIPE_S,INVMATE,INVMATE_S,INVTOTB,INVFINB,INVWIPB,INVMATB,CEXTOT,CEXTOT_S,CEXBLD,CEXMCH,CEXMCHA,CEXMCHC,CEXMCHO,DPRTOT,DPRTOT_S,RPTOT,RPTOT_S,RPBLD,RPMCH,PCHTT,PCHTT_S,PCHTEMP,PCHCMPQ,PCHEXSO,PCHDAPR,PCHCSVC,PCHRPR,PCHRFUS,PCHADVT,PCHPRTE,PCHTAX,PCHOEXP
0100000US,,United States,,31311,"Fiber, yarn, and thread mills",,2008,34655,1,999525,356682,1,143377,43445,30536,139324,31341,62675,821435,5838386,1,5363541,29605,48959,65184,1,6122003,331096,1,,,8572523,1,8510605,3208582,61918,37795,,,2706295,1,656776,1,294972,2,119068,1,242735,1,687436,296482,144757,246196,146871,8,32552,114319,527,3476,110317,241374,2,22605,1,16830,5775,403977,3,13122,671,646,1524,3842,37012,21274,2625,6742,31975,284544
0100000US,,United States,,31311M,"Fiber, yarn, and thread mills",,2009,27932,2,816297,248604,2,118316,4461,13995,111833,25439,47190,653432,4031057,2,3655296,24426,28371,50529,2,4845868,272434,1,,,6375688,2,,2172976,,,,,2228633,2,489171,3,205338,4,98151,6,185683,2,633644,282853,120949,229843,118622,3,25358,93263,9876,3016,80372,227813,3,20371,3,15723,4648,316834,4,14382,778,692,4810,3858,26444,22016,3248,7306,26942,206359
0100000US,,United States,,31311M,"Fiber, yarn, and thread mills",,2008,34655,1,999525,356682,1,143377,43445,30536,139324,31341,62675,821435,5838386,1,5363541,29605,48959,65184,1,6122003,331096,1,,,8572523,1,8510605,3208582,61918,37795,,,2706295,1,656776,1,294972,2,119068,1,242735,1,687436,296482,144757,246196,146871,8,32552,114319,527,3476,110317,241374,2,22605,1,16830,5775,403977,3,13122,671,646,1524,3842,37012,21274,2625,6742,31975,284544
0100000US,,United States,,3132,Fabric mills,,2009,51323,2,2004275,618927,2,253898,49893,50509,264627,42551,81532,1437888,6718316,1,5791195,273080,216163,126654,2,5083646,311225,1,,,13831234,1,,1306589,,,,,6754961,1,1679709,2,695542,2,440366,4,543801,2,2112297,895113,571195,645989,739211,1,68596,670616,6639,66465,597511,519379,2,81940,4,61677,20263,974088,2,44675,7763,3402,9870,14074,115463,68312,14063,60980,58760,576726
0100000US,,United States,,3132,Fabric mills,,2008,63383,2,2337428,787789,1,267279,104440,84694,331375,52555,102033,1686311,8772776,1,7578541,375430,265999,174998,10,6448417,377809,1,,,15970473,1,15466865,1692158,503608,480673,,,7132299,1,2110607,1,904741,1,577829,1,628036,1,2229090,976504,590317,662268,550721,3,54111,496610,3276,60607,432727,525707,1,88119,2,72221,15898,1098924,2,54275,9457,4621,10591,15227,131817,79803,12653,57603,57213,665664
0100000US,,United States,,31321,Broadwoven fabric mills,,2009,20301,2,647060,184762,3,82879,7622,11956,82304,17589,33763,479064,2663688,2,2280883,133372,93231,35487,3,1963743,120715,2,,,4352113,2,4153951,571814,198162,,,,1540316,4,710984,2,307837,3,202402,2,200745,3,881096,405207,253689,222200,166089,5,14077,152011,2172,5597,144243,158654,2,19448,5,10965,8482,355374,5,9304,3563,638,2835,4373,37641,21479,3571,18630,25505,227834
0100000US,,United States,,31321,Broadwoven fabric mills,,2008,26584,1,825929,274393,2,97383,33238,22673,121100,23225,45057,623715,3516381,1,2990410,196560,127670,53230,1,2620478,148511,1,,,5702885,1,5418536,1175770,284349,279051,2897,,2174914,1,882423,1,410023,1,254775,1,217625,3,935648,436393,254274,244982,115246,10,5902,109344,1453,5516,102376,170144,2,28465,2,23692,4774,320022,3,8762,4580,616,3052,4471,40785,23909,2135,13017,24341,194354
0100000US,,United States,,313210,Broadwoven fabric mills,,2009,20301,2,647060,184762,3,82879,7622,11956,82304,17589,33763,479064,2663688,2,2280883,133372,93231,35487,3,1963743,120715,2,,,4352113,2,4153951,571814,198162,,,,1540316,4,710984,2,307837,3,202402,2,200745,3,881096,405207,253689,222200,166089,5,14077,152011,2172,5597,144243,158654,2,19448,5,10965,8482,355374,5,9304,3563,638,2835,4373,37641,21479,3571,18630,25505,227834
0100000US,,United States,,313210,Broadwoven fabric mills,,2008,26584,1,825929,274393,2,97383,33238,22673,121100,23225,45057,623715,3516381,1,2990410,196560,127670,53230,1,2620478,148511,1,,,5702885,1,5418536,1175770,284349,279051,2897,,2174914,1,882423,1,410023,1,254775,1,217625,3,935648,436393,254274,244982,115246,10,5902,109344,1453,5516,102376,170144,2,28465,2,23692,4774,320022,3,8762,4580,616,3052,4471,40785,23909,2135,13017,24341,194354
0100000US,,United States,,31322,Narrow fabric mills and schiffli machine embroidery,,2009,6582,5,212510,60083,5,27403,2403,2550,27728,5216,9723,135430,386850,4,334226,21026,5989,9957,7,229293,15651,4,,452,932967,2,,10775,,,,,510806,6,177188,8,78240,7,36297,19,62651,8,225936,88381,51765,85790,28950,6,1617,27333,421,1263,25650,25773,7,13710,12,11702,2008,78997,8,5224,568,433,803,1939,8798,3781,1453,5533,5795,44671
0100000US,,United States,,31322,Narrow fabric mills and schiffli machine embroidery,,2008,8714,1,276515,82002,3,32546,10183,4885,34387,6872,13123,174529,485565,2,409343,39025,5491,12471,2,276498,19236,1,,,1107406,1,1047489,,59916,57001,,,632455,2,227608,2,86117,2,54016,3,87475,2,214192,82543,49056,82593,27171,5,6295,20877,192,1109,19576,29875,6,11747,4,10380,1368,84469,9,6442,400,389,742,2317,7014,3372,1230,6951,5785,49826
0100000US,,United States,,31322M,Narrow fabric mills and schiffli machine embroidery,,2009,6582,5,212510,60083,5,27403,2403,2550,27728,5216,9723,135430,386850,4,334226,21026,5989,9957,7,229293,15651,4,,452,932967,2,,10775,,,,,510806,6,177188,8,78240,7,36297,19,62651,8,225936,88381,51765,85790,28950,6,1617,27333,421,1263,25650,25773,7,13710,12,11702,2008,78997,8,5224,568,433,803,1939,8798,3781,1453,5533,5795,44671
0100000US,,United States,,31322M,Narrow fabric mills and schiffli machine embroidery,,2008,8714,1,276515,82002,3,32546,10183,4885,34387,6872,13123,174529,485565,2,409343,39025,5491,12471,2,276498,19236,1,,,1107406,1,1047489,,59916,57001,,,632455,2,227608,2,86117,2,54016,3,87475,2,214192,82543,49056,82593,27171,5,6295,20877,192,1109,19576,29875,6,11747,4,10380,1368,84469,9,6442,400,389,742,2317,7014,3372,1230,6951,5785,49826
0100000US,,United States,,31323,Nonwoven fabric mills,,2009,16981,4,902892,303470,3,116373,36511,32168,118419,13559,26615,664898,2980235,2,2574572,97173,97441,61721,4,2529573,149328,2,,,7399019,1,7256834,649148,142185,,,,4273374,1,656385,2,259526,3,166581,8,230278,4,819872,347957,207935,263980,500421,1,49399,451023,3344,58051,389628,293263,3,35621,7,27884,7737,405663,4,25092,3352,1836,5498,5817,60399,27582,7246,30898,22224,215720
0100000US,,United States,,31323,Nonwoven fabric mills,,2008,19110,1,933756,332161,1,109219,50004,50044,122894,15167,28966,680515,3707092,2,3221879,123154,99451,89262,2,2974764,173346,1,,,7450189,1,7320944,352825,129246,123809,,,3690423,1,808139,1,344537,1,209809,1,253794,3,871651,392089,216081,263482,363193,3,37795,325399,1376,52655,271367,276435,1,34393,4,26139,8254,548201,3,31357,4356,2880,5934,6375,72418,33551,8044,33557,22430,327301
0100000US,,United States,,313230,Nonwoven fabric mills,,2009,16981,4,902892,303470,3,116373,36511,32168,118419,13559,26615,664898,2980235,2,2574572,97173,97441,61721,4,2529573,149328,2,,,7399019,1,7256834,649148,142185,,,,4273374,1,656385,2,259526,3,166581,8,230278,4,819872,347957,207935,263980,500421,1,49399,451023,3344,58051,389628,293263,3,35621,7,27884,7737,405663,4,25092,3352,1836,5498,5817,60399,27582,7246,30898,22224,215720
0100000US,,United States,,313230,Nonwoven fabric mills,,2008,19110,1,933756,332161,1,109219,50004,50044,122894,15167,28966,680515,3707092,2,3221879,123154,99451,89262,2,2974764,173346,1,,,7450189,1,7320944,352825,129246,123809,,,3690423,1,808139,1,344537,1,209809,1,253794,3,871651,392089,216081,263482,363193,3,37795,325399,1376,52655,271367,276435,1,34393,4,26139,8254,548201,3,31357,4356,2880,5934,6375,72418,33551,8044,33557,22430,327301
0100000US,,United States,,31324,Knit fabric mills,,2009,7458,2,241812,70611,2,27243,3356,3836,36176,6187,11431,158497,687544,5,601513,21509,19503,19489,3,361037,25530,2,,,1147136,3,,74852,,,,,430466,3,135153,7,49939,11,35086,9,50128,4,185393,53568,57806,74019,43751,3,3502,40249,703,1554,37991,41688,3,13161,8,11127,2035,134053,4,5055,280,496,734,1945,8625,15470,1792,5919,5237,88501
0100000US,,United States,,31324,Knit fabric mills,,2008,8975,11,301228,99233,4,28130,11016,7092,52994,7292,14886,207552,1063738,3,956909,16691,33387,20035,83,576677,36717,1,,,1709993,4,1679896,,30097,20813,8421,864,634508,5,192436,3,64065,3,59229,5,69142,2,207598,65479,70907,71212,45110,4,4120,40990,256,1327,39408,49253,5,13513,4,12010,1503,146232,4,7714,121,736,862,2064,11600,18971,1244,4078,4658,94183
0100000US,,United States,,31324M,Knit fabric mills,,2009,7458,2,241812,70611,2,27243,3356,3836,36176,6187,11431,158497,687544,5,601513,21509,19503,19489,3,361037,25530,2,,,1147136,3,,74852,,,,,430466,3,135153,7,49939,11,35086,9,50128,4,185393,53568,57806,74019,43751,3,3502,40249,703,1554,37991,41688,3,13161,8,11127,2035,134053,4,5055,280,496,734,1945,8625,15470,1792,5919,5237,88501
0100000US,,United States,,31324M,Knit fabric mills,,2008,8975,11,301228,99233,4,28130,11016,7092,52994,7292,14886,207552,1063738,3,956909,16691,33387,20035,83,576677,36717,1,,,1709993,4,1679896,,30097,20813,8421,864,634508,5,192436,3,64065,3,59229,5,69142,2,207598,65479,70907,71212,45110,4,4120,40990,256,1327,39408,49253,5,13513,4,12010,1503,146232,4,7714,121,736,862,2064,11600,18971,1244,4078,4658,94183
0100000US,,United States,,3133,Textile and fabric finishing and fabric coating mills,,2009,29434,3,1074746,298014,3,120052,10259,18161,149541,22206,42777,637192,3753337,2,3130129,220638,140579,151126,3,1421745,110865,2,,,6254330,2,5854303,326584,400027,,,,2402185,3,785082,2,348814,3,133715,5,302554,3,984011,427788,147169,409054,107783,6,6231,101552,2847,6670,92035,198835,4,77577,4,68738,8839,571732,6,26781,3066,2303,5438,9208,53498,48971,19381,39210,27456,336420
0100000US,,United States,,3133,Textile and fabric finishing and fabric coating mills,,2008,37853,1,1337962,385177,1,138305,44942,25180,176750,29410,59342,849346,4754626,1,4070941,191182,131608,225652,1,1931682,135244,2,,,7509399,1,7176172,590764,333227,257274,57548,18405,2693752,2,966467,1,408886,1,139102,2,418479,2,1012944,445657,167799,399488,185528,2,31307,154221,2967,10929,140325,227272,2,74699,2,65603,9097,660272,5,28341,3786,1518,6712,9753,54683,71115,17735,36722,32832,397076
0100000US,,United States,,31331,Textile and fabric finishing mills,,2009,22822,4,756694,203568,4,80677,5200,12322,105370,17512,33486,462212,2406177,3,1936373,124007,128070,129097,3,1167675,88630,3,,,4260899,3,,308020,,,,,1793196,4,508825,3,234643,4,98417,6,175765,5,630359,284600,107934,237825,79868,7,4778,75090,2565,3673,68852,138004,5,51987,5,46487,5500,385880,7,19467,2098,1343,4058,5545,34950,40855,17012,22722,19139,218693
0100000US,,United States,,31331,Textile and fabric finishing mills,,2008,29617,1,947280,270337,2,97579,30521,17386,124852,23542,47169,623164,3167250,1,2622253,134424,111201,192474,1,1598360,106897,2,,,5136989,1,4904028,565803,232961,185386,35868,11706,1928333,2,614750,1,266300,1,102952,3,245497,3,652800,288583,124182,240035,104736,3,8215,96521,2067,6882,87572,165958,2,50963,2,45638,5325,460748,4,20095,2336,900,5330,6113,35812,59954,15605,21492,24440,268672
0100000US,,United States,,31331M,Textile and fabric finishing mills,,2009,22822,4,756694,203568,4,80677,5200,12322,105370,17512,33486,462212,2406177,3,1936373,124007,128070,129097,3,1167675,88630,3,,,4260899,3,,308020,,,,,1793196,4,508825,3,234643,4,98417,6,175765,5,630359,284600,107934,237825,79868,7,4778,75090,2565,3673,68852,138004,5,51987,5,46487,5500,385880,7,19467,2098,1343,4058,5545,34950,40855,17012,22722,19139,218693
