GEO.id,GEO.id2,GEO.display-label,NAICS.id,NAICS.display-label,YEAR.id,EMP,EMP_S,PAYANN,BENEFIT,BENEFIT_S,BENHEA,BENPEB,BENPEC,BENOTH,EMPAVPW,HOURS,PAYANPW,CSTMTOT,CSTMTOT_S,CSTMPRT,CSTRSL,CSTCNT,CSTFU,CSTFU_S,ELECPCH,CSTELEC,CSTELEC_S,ELECGEN,ELECSLD,RCPTOT,RCPTOT_S,RCPTPLM,RCPTRAN,MSCTOT,MSCRSLTT,MSCCNTTT,MSCOTH,VALADD,VALADD_S,INVTOTE,INVTOTE_S,INVFINE,INVFINE_S,INVWIPE,INVWIPE_S,INVMATE,INVMATE_S,INVTOTB,INVFINB,INVWIPB,INVMATB,CEXTOT,CEXTOT_S,CEXBLD,CEXMCH,CEXMCHA,CEXMCHC,CEXMCHO,DPRTOT,DPRTOT_S,RPTOT,RPTOT_S,RPBLD,RPMCH,PCHTT,PCHTT_S,PCHTEMP,PCHCMPQ,PCHEXSO,PCHDAPR,PCHCSVC,PCHRPR,PCHRFUS,PCHADVT,PCHPRTE,PCHTAX,PCHOEXP
Geographic identifier code,Id2,Geographic area name,2007 NAICS codes and NAICS-based rollup code,Meaning of 2007 NAICS codes and NAICS-based rollup code,Year,Number of employees,Relative standard error of total number of employees (%),"Annual payroll ($1,000)","Total fringe benefits ($1,000)",Relative standard error of total fringe benefits (%),"Employer's cost for health insurance ($1,000)","Employer's cost for defined benefit pension plans ($1,000)","Employer's cost for defined contribution plans ($1,000)","Employer's cost for other fringe benefits ($1,000)",Production workers avg per year,"Production workers hours (1,000)","Production workers wages ($1,000)","Total cost of materials ($1,000)",Relative standard error of total cost of materials (%),"Materials, parts, containers, packaging, etc. used ($1,000)","Cost of resales ($1,000)","Contract work ($1,000)","Cost of purchased fuels ($1,000)",Relative standard error of cost of purchased fuels (%),"Quantity of electricity purchased for heat and power (1,000 kWh)","Purchased electricity ($1,000)",Relative standard error of purchased electricity (%),"Quantity of generated electricity (1,000 kWh)","Quantity of electricity sold or transferred (1,000 kWh)","Total value of shipments ($1,000)",Relative standard error of total value of shipments (%),"Value of products shipments ($1,000)","Value of interplant transfers ($1,000)","Total miscellaneous receipts ($1,000)","Value of resales ($1,000)","Contract receipts ($1,000)","Other miscellaneous receipts ($1,000)","Value added ($1,000)",Relative standard error of value added (%),"Total inventories, end of year ($1,000)","Relative standard error of total inventories, end of year (%)","Finished goods inventories, end of year ($1,000)","Relative standard error of finished goods inventories, end of year (%)","Work-in-process inventories, end-of-year  ($1,000)","Relative standard error of work-in-process inventories, end of year (%)","Materials and supplies inventories, end of year ($1,000)","Relative standard error of materials and supplies inventories, end of year (%)","Total inventories, beginning of year ($1,000)","Finished goods inventories, beginning of year ($1,000)","Work-in-process inventories, beginning of year ($1,000)","Materials and supplies inventories, beginning of year ($1,000)","Total capital expenditures (new and used) ($1,000)",Relative standard error of total capital expenditures (new and used) (%),"Capital expenditures on buildings and other structures (new and used) ($1,000)","Capital expenditures on machinery and equipment (new and used) ($1,000)","Capital expenditures on automobiles, trucks, etc. for highway use ($1,000)","Capital expenditures on computers and peripheral data processing equipment ($1,000)","Capital expenditures on all other machinery and equipment ($1,000)","Total depreciation ($1,000)",Relative standard error of total depreciation (%),"Total rental payments ($1,000)",Relative standard error of total rental payments (%),"Rental payments for buildings and other structures ($1,000)","Rental payments for machinery and equipment ($1,000)","Total other expenses ($1,000)",Relative standard error of total other expenses (%),"Temporary staff and leased employee expenses ($1,000)","Expensed computer hardware and other equipment ($1,000)","Expensed purchases of software ($1,000)","Data processing and other purchased computer services ($1,000)","Communication services ($1,000)","Repair and maintenance services of buildings and/or machinery ($1,000)","Refuse removal (including hazardous waste) services ($1,000)","Advertising and promotional services ($1,000)","Purchased professional and technical services ($1,000)","Taxes and license fees ($1,000)","All other expenses ($1,000)"
0100000US,,United States,324110,Petroleum refineries,2009,65462,1,6400364,2237835,1,768417,280724,349344,839349,40518,94448,3628079,398679464,1,371708843,18141928,676448,5805664,1,44698730,2346581,1,16493138,3563234,463582674,1,436973520,18422169,26609154,D,D,D,65623016,1,33463889,1,13199176,1,9608443,1,10656270,1,29288112,14720735,7293198,7274180,16824311,1,1849116,14975195,33961,100811,14840423,6791744,1,507272,1,86293,420979,16327848,1,452620,45563,55067,31618,85515,5584216,755260,16020,1558208,1411784,6331977
0100000US,,United States,324121,Asphalt paving mixture and block manufacturing,2009,14291,2,696959,197034,2,70096,7465,12979,106495,10761,20828,480615,7353158,1,6324499,338407,121760,439610,2,1512441,128882,2,27340,D,11690953,1,11100263,246766,590690,430473,D,D,4317904,2,657673,2,351666,2,61747,4,244260,5,762603,405115,47065,310423,297022,12,23846,273176,12699,5842,254635,233966,3,109522,5,37724,71798,630892,4,19131,2359,662,1888,7859,109294,27113,6593,20709,47688,387596
0100000US,,United States,324122,Asphalt shingle and coating materials manufacturing,2009,9397,2,566771,149967,1,57713,7937,11411,72906,6874,14974,370233,4903487,1,4489303,274461,3387,74379,2,778051,61957,2,S,D,9159704,1,8792764,208504,366940,363334,D,D,4145339,1,699855,1,458385,2,18959,4,222512,2,823416,565654,17248,240514,153646,1,15955,137690,885,3742,133063,149745,1,53382,1,30166,23216,573828,2,15383,1632,1743,1599,5428,61092,44708,8732,22963,28780,381767
0100000US,,United States,324191,Petroleum lubricating oil and grease manufacturing,2009,9715,5,572212,159362,4,56924,10020,13917,78501,6493,13157,306289,6592466,1,6328593,175455,S,47633,6,528082,35667,2,D,S,10158867,1,9893085,436188,265782,D,D,D,3421339,2,977179,1,492588,3,93815,3,390776,2,1230668,631612,104069,494987,277027,15,38115,238912,4710,5313,228890,146384,4,35711,2,13734,21977,354226,5,41091,1046,1377,2248,3733,52901,16895,8547,17946,22999,185441
0100000US,,United States,324199,All other petroleum and coal products manufacturing,2009,2694,5,184979,53079,3,19327,1946,3935,27872,2000,4570,118278,2214651,11,2096791,S,27203,52282,9,565591,33159,4,D,440234,3283277,9,3260940,72295,22337,D,D,D,1051005,4,315602,8,147169,10,31408,19,137025,3,354936,161236,36516,157185,56685,9,12888,43797,1927,1255,40615,81369,1,8484,3,2914,5570,120093,7,7160,265,272,417,919,24155,16736,177,9967,9657,50369
0100000US,,United States,325110,Petrochemical manufacturing,2009,9167,1,883501,289408,1,73806,27935,54369,133298,5826,12415,517466,33100332,1,29084798,2022919,44873,1544052,1,8218876,403690,1,D,485002,52086422,1,50036278,16625780,2050144,2043618,D,D,18846611,1,2375187,1,1119135,1,237021,2,1019031,1,2294695,1286202,213790,794703,643385,1,11859,631526,8247,23169,600110,1242215,1,59014,1,6021,52993,1257792,1,33042,4042,4101,4200,4116,483216,156640,509,93288,133739,340899
0100000US,,United States,325120,Industrial gas manufacturing,2009,9287,4,633418,207112,3,73401,19520,21868,92323,6462,13351,410372,2557524,6,1145651,171549,25124,334438,33,18101433,880760,4,D,1268836(s),7499403,2,7189624,272297,309780,240361,6523(s),62895,4930678,3,658448,3,357251,5,58421,34,242776,7,644826,353833,70841,220152,651981,6,74786,577195,14891,13165,549139,553367,2,38919,6,7529,31390,848838,5,22039,5076,3397,5694(s),8882,154448,95450,692,31439,114968,406752
0100000US,,United States,32513M,Synthetic dye and pigment manufacturing,2009,9549,2,635053,203023,2,75593,19351,17467,90613,6265,13077,357173,3020509,2,2580262,78426,19552,176088,4,2793063,166183,1,S,S,6212514,1,6072437,239871,140077,110925,28251,902,3070544,1,979750,2,489003,2,95423,3,395324,3,1273848,599856,109467,564525,184001,2,43155,140846,1574,7341,131931,319656,1,22758,1,9776,12982,370279,6,9073,1866,1127,1556,5971,67546,51199,4029,28769,27163,171979
0100000US,,United States,325181,Alkalies and chlorine manufacturing,2009,5973,1,475866,173296,1,56249,15284,18780,82983,4007,7785,276033,2556687,1,1432852,148710,D,536319,1,9566509,D,S,5691636,1842003,5376112,1,5136902,D,239210,D,S,D,2856531,3,334208,4,188778,8,1978,1,143452,1,290340,152898,1899,135544,360810,1,26921,333889,D,D,329873,226049,1,36133,1,5668,30465,556869,2,33560,D,D,D,3343,186529,21451,550,42983,46487,218387
0100000US,,United States,325182,Carbon black manufacturing,2009,1489,6,97341,32645,6,11618,4987,2523,13518,1044,2354,67063,733310,8,669882,799,D,33596,5,412590,D,S,D,D,1183144,6,1179028,D,4116,D,S,D,418525,5,183499,5,102069,3,1736,1,79694,9,230555,133089,2502,94964,42466,1,851,41615,D,D,41175,66165,3,4518,8,420(s),4098,96512,4,1028,D,D,D,846,28589,4083,32(s),7415,7343,45853
