GEO.id,GEO.id2,GEO.display-label,NAICS.id,NAICS.display-label,YEAR.id,EMP,EMP_S,PAYANN,BENEFIT,BENEFIT_S,BENHEA,BENPEB,BENPEC,BENOTH,EMPAVPW,HOURS,PAYANPW,CSTMTOT,CSTMTOT_S,CSTMPRT,CSTRSL,CSTCNT,CSTFU,CSTFU_S,ELECPCH,CSTELEC,CSTELEC_S,ELECGEN,ELECSLD,RCPTOT,RCPTOT_S,RCPTPLM,RCPTRAN,MSCTOT,MSCRSLTT,MSCCNTTT,MSCOTH,VALADD,VALADD_S,INVTOTE,INVTOTE_S,INVFINE,INVFINE_S,INVWIPE,INVWIPE_S,INVMATE,INVMATE_S,INVTOTB,INVFINB,INVWIPB,INVMATB,CEXTOT,CEXTOT_S,CEXBLD,CEXMCH,CEXMCHA,CEXMCHC,CEXMCHO,DPRTOT,DPRTOT_S,RPTOT,RPTOT_S,RPBLD,RPMCH,PCHTT,PCHTT_S,PCHTEMP,PCHCMPQ,PCHEXSO,PCHDAPR,PCHCSVC,PCHRPR,PCHRFUS,PCHADVT,PCHPRTE,PCHTAX,PCHOEXP
Geographic identifier code,Id2,Geographic area name,2007 NAICS codes and NAICS-based rollup code,Meaning of 2007 NAICS codes and NAICS-based rollup code,Year,Number of employees,Relative standard error of total number of employees (%),"Annual payroll ($1,000)","Total fringe benefits ($1,000)",Relative standard error of total fringe benefits (%),"Employer's cost for health insurance ($1,000)","Employer's cost for defined benefit pension plans ($1,000)","Employer's cost for defined contribution plans ($1,000)","Employer's cost for other fringe benefits ($1,000)",Production workers avg per year,"Production workers hours (1,000)","Production workers wages ($1,000)","Total cost of materials ($1,000)",Relative standard error of total cost of materials (%),"Materials, parts, containers, packaging, etc. used ($1,000)","Cost of resales ($1,000)","Contract work ($1,000)","Cost of purchased fuels ($1,000)",Relative standard error of cost of purchased fuels (%),"Quantity of electricity purchased for heat and power (1,000 kWh)","Purchased electricity ($1,000)",Relative standard error of purchased electricity (%),"Quantity of generated electricity (1,000 kWh)","Quantity of electricity sold or transferred (1,000 kWh)","Total value of shipments ($1,000)",Relative standard error of total value of shipments (%),"Value of products shipments ($1,000)","Value of interplant transfers ($1,000)","Total miscellaneous receipts ($1,000)","Value of resales ($1,000)","Contract receipts ($1,000)","Other miscellaneous receipts ($1,000)","Value added ($1,000)",Relative standard error of value added (%),"Total inventories, end of year ($1,000)","Relative standard error of total inventories, end of year (%)","Finished goods inventories, end of year ($1,000)","Relative standard error of finished goods inventories, end of year (%)","Work-in-process inventories, end-of-year  ($1,000)","Relative standard error of work-in-process inventories, end of year (%)","Materials and supplies inventories, end of year ($1,000)","Relative standard error of materials and supplies inventories, end of year (%)","Total inventories, beginning of year ($1,000)","Finished goods inventories, beginning of year ($1,000)","Work-in-process inventories, beginning of year ($1,000)","Materials and supplies inventories, beginning of year ($1,000)","Total capital expenditures (new and used) ($1,000)",Relative standard error of total capital expenditures (new and used) (%),"Capital expenditures on buildings and other structures (new and used) ($1,000)","Capital expenditures on machinery and equipment (new and used) ($1,000)","Capital expenditures on automobiles, trucks, etc. for highway use ($1,000)","Capital expenditures on computers and peripheral data processing equipment ($1,000)","Capital expenditures on all other machinery and equipment ($1,000)","Total depreciation ($1,000)",Relative standard error of total depreciation (%),"Total rental payments ($1,000)",Relative standard error of total rental payments (%),"Rental payments for buildings and other structures ($1,000)","Rental payments for machinery and equipment ($1,000)","Total other expenses ($1,000)",Relative standard error of total other expenses (%),"Temporary staff and leased employee expenses ($1,000)","Expensed computer hardware and other equipment ($1,000)","Expensed purchases of software ($1,000)","Data processing and other purchased computer services ($1,000)","Communication services ($1,000)","Repair and maintenance services of buildings and/or machinery ($1,000)","Refuse removal (including hazardous waste) services ($1,000)","Advertising and promotional services ($1,000)","Purchased professional and technical services ($1,000)","Taxes and license fees ($1,000)","All other expenses ($1,000)"
0100000US,,United States,325412,Pharmaceutical preparation manufacturing,2009,143792,2,10904352,3230153,1,1116627,211973,402528,1499024,71323,135346,3596905,35226533,1,28227608,5589390,690901,289163,1,6152656,429472,1,D,D,141936232,1,125349864,4766734,16586367,13383206,726893,2476269,106165160,1,15122863,4,5078799,11,6072583,1,3971480,2,15892984,4651977,7053998,4187008,2173924,1,577575,1596349,31754,149675,1414920,2593385,1,297897,5,245497,52400,8122521,1,341599,78185,110544,88308,130185,466167,266108,891029,1038996,211352,4500047
0100000US,,United States,325413,In-vitro diagnostic substance manufacturing,2009,26516,2,2163730,673522,1,238509,72115,72697,290200,10061,19810,532057,3759838,1,2270546,1352463,53188,21330,9,672866,62311,1,D,S,11878476,1,8374814,72369,3503662,3378697,16615,108350,8134126,1,1738977,1,833595,1,349644,1,555739,2,1703041,796111,371661,535269,423819,4,133291,290527,2037,38638,249853,263794,1,81361,3,56648,24713,2020564,2,110117,25527,14194,27273,36000,51139,25523,104780,316188,30520,1279303
0100000US,,United States,325414,Biological product (except diagnostic) manufacturing,2009,39484,2,3148647,979184,4,329400,74477,97251,478055,21326,41591,1328397,7912552,1,5864099,1556207,236264,141137,1,1505905,114844,9,272554,D,26814983,1,24014135,628812,2800848,2461169,328573,11106,19400377,2,5975680,1,1722631,2,3345174,1,907875,2,5577127,1427301,3141532,1008294,1639487,15,773494,865993,4334,85640,776020,944625,3,90459,5,68199,22260,1643216,9,93617,7814,13564,14781,23090,173776,57258,74620,270723,72136,841836
0100000US,,United States,325510,Paint and coating manufacturing,2009,33873,2,1899618,552573,1,214902,31078,60402,246192,19630,39623,848236,9759712,1,8949615,626782,27020,56248,3,1256353,100048,1,1271(s),S,19630904,1,18523431,231567,1107473,1074713,D,D,9703320,1,1653679,3,913981,2,95958,3,643741,5,1860168,1048453,105618,706097,304041,6,49889,254152,3041,18501,232610,349204,1,99384,7,76690,22694,1176866,5,47277,5839,3430,6735,18421,86838,56012,34430,60062,50525,807295
0100000US,,United States,325520,Adhesive manufacturing,2009,20545,2,1091619,313976,2,129845,14767,29983,139380,13261,26785,530517,5181581,2,4659341,334595,44162,60169,2,1053946,83314,2,896(s),S,9571413,1,9103000,246879,468412,449147,D,D,4296831,1,927600,2,437566,2,82382,7,407653,3,1070273,554712,84388,431172,260924,3,76448,184476,1350,8736,174390,220274,3,58630,4,45362,13267,709807,5,32461,6109,2518,8783,11697,59901,47272,17806,36462,31475,455322
0100000US,,United States,32561M,Soap and cleaning compound manufacturing,2009,43612,2,2431313,725833,1,296505,37463,62932,328933,25628,52283,1221649,23450012,1,18477512,4297381,173899,322193,1,2418828,179027,1,D,D,48470784,1,42860680,3440561,5610104,D,D,171889,24824391,1,2633434,1,1623854,1,182446,9,827134,3,2931082,1779439,237362,914282,1570594,1,203300,1367294,17041,54758,1295496,1075022,1,166936,4,128032,38905,2101265,4,177028,12723,6866,12241,20883,188600,93878,85756,170075,72954,1260261
0100000US,,United States,325620,Toilet preparation manufacturing,2009,53992,1,2831865,792818,1,311434,38169,86968,356248,31666,60781,1250259,18097324,1,10234308,7314724,383049,43285,3,1504872,121959,2,D,S,38521239,1,30818046,340184,7703193,D,D,D,19976559,1,3289985,1,1626304,1,231306,6,1432374,2,3856611,1995521,294215,1566875,698111,1,91220,606891,8307,98838,499745,522508,1,230601,2,190400,40201,3123679,3,321854,17732,13178,53595,26841,134893,79181,792067,214765,62187,1407386
0100000US,,United States,325910,Printing ink manufacturing,2009,12131,2,614987,149307,3,62274,S,11020,74740,8407,16663,311609,2426722,1,2253620,113394,16062,11992,7,384408,31653,4,D,S,4265317,1,4061948,176923,203369,D,D,D,1827126,2,515127,2,259788,2,22660,5,232680,4,539756,271563,24322,243871,340120,2,97794,242326,16595,21115,204616,76010,4,39891,2,32769,7122,273497,7,20270,4203,2509,3589,7506,29437,12027,4988,21703,13162,154103
0100000US,,United States,325920,Explosives manufacturing,2009,6303,3,347863,98132,3,39265,9227,8834,40807,4279,8558,186265,850795,2,746638,77082,8814,5143,1,202403,13117,2,D,D,2045937,2,1659013,162105,386923,D,D,D,1177942,2,217081,2,62451,5,60388,6,94241,2,246202,69944,68354,107904,66757,5,11026,55731,8369,3912,43450,29112,6,14034,4,9852,4182,235087,6,10964,2166,766,526,3205,14608,10603,1570,6599,4504,179574
0100000US,,United States,325991,Custom compounding of purchased resins,2009,16712,1,827190,239780,2,106349,11001,20089,102341,11187,23517,441451,4913353,1,4577447,141115,37310,33305,5,1670076,124176,1,S,S,7297569,1,7083753,44614,213816,191668,19487,2661,2276233,3,801508,3,371069,2,37551,6,392888,5,979287,470398,39717,469172,167007,6,19728,147279,5148,7555,134576,182518,2,61895,4,46612,15283,431410,4,14690,2283,3014,2613,8866,62823,18401,6807,29763,30599,251551
0100000US,,United States,32599N,All other miscellaneous chemical product and preparation manufacturing (including photographic),2009,50959,2,2792923,844824,1,346511,30322,69164,398827,30024,60085,1371770,12874232,3,10382775,1831674,117846,305894,2,3504124,236043,2,D,D,27230846,1,23810445,989906,3420401,2960034,D,D,14130867,2,2728342,2,1115842,3,457637,1,1154864,3,3068367,1264532,544850,1258984,1113432,5,168252,945180,18409,70952,855819,792294,4,246353,28,192206,54147,2402950,5,124521,19813,11831,15244,29578,233152,165515,68491,249812,108894,1376098
0100000US,,United States,326111,Plastics bag manufacturing,2009,31004,1,1183969,332970,1,141228,10756,29998,150988,25735,50817,828258,4518773,1,4032276,273269,34573,17343,3,2512630,161313,1,5238(s),S,8649452,1,8292706,49762,356747,333070,D,D,4025525,1,834430,2,402614,2,54910,5,376906,3,926356,487656,68420,370280,232751,2,10990,221761,5445,8254,208062,285235,1,80309,2,60543,19766,541075,2,30247,3292,1314,2744,7614,64119,13355,4754,25775,24235,363626
0100000US,,United States,326112,Plastics packaging film and sheet (including laminated) manufacturing,2009,24228,1,1148029,339226,1,142058,16435,31799,148934,18559,37850,805946,4662578,1,4260289,161623,35519,54349,2,2210858,150799,2,D,S,8678065,1,8455103,541341,222963,182333,D,D,3966085,1,921955,2,447195,2,119058,2,355702,3,1021338,508586,116358,396395,228329,5,30311,198018,2248,5879,189892,297862,2,58539,3,42983,15556,593358,5,20399,2866,704,4323,8066,83280,24471,3538,20753,23546,401412
0100000US,,United States,326113,Unlaminated plastics film and sheet (except packaging) manufacturing,2009,36234,1,1751908,526732,2,228671,20078,48597,229386,26378,54684,1037335,7123854,2,6367947,234732,115773,89534,3,5223430,315869,1,D,D,12786223,1,12466065,441790,320158,275942,3776,40440,5469299,1,1515464,2,633354,2,193186,3,688924,2,1793044,784003,231635,777405,441913,3,58136,383777,2781,16795,364201,508619,1,98143,2,70108,28035,1006762,4,67915,6636,3726,5465,17801,132348,30375,30174,48984,47755,615583
0100000US,,United States,326121,Unsupported plastics profile shape manufacturing,2009,16150,3,706456,208693,2,87663,7367,14800,98862,11849,23942,404766,1618364,4,1410312,58381,61060,23330,6,830306,65282,4,S,S,3594712,3,3514426,196694,80286,69198(s),6903,4185(s),1930690,3,460200,4,226612,4,56816,5,176772,5,535451,259555,72763,203133,91657,5,9194,82463,1327,4222,76914,143156,4,38030,6,30746,7284,423855,7,28098,2194,1099,1627,6276,40442,12773,9275,20525,15854,285692
0100000US,,United States,326122,Plastics pipe and pipe fitting manufacturing,2009,21143,1,791489,214138,2,86831,8888,18959,99460,16999,34342,504582,3525869,2,3207396,140400,32097,9297,5,1960866,136680,3,S,S,6126865,1,5934354,101600,192511,187332,987,4192,2354953,2,822304,2,528507,2,49233,3,244564,4,1144163,748695,59771,335698,213399,3,22478,190921,3919,8098,178904,214785,2,52606,3,41302,11304,451616,3,28121,2825,2480,1880,7416,45774,11595,10742,14409,28237,298136
0100000US,,United States,326130,"Laminated plastics plate, sheet, and shape manufacturing",2009,9521,4,431854,134969,6,61540,4100(s),12434,56895,7028,14170,274060,1272124,4,1158251,D,D,29113,11,625953,44898,3,S,S,2628049,3,D,61370,D,23036(s),S,D,1289243,4,326570,6,142781,7,30490,31,153298,6,387669,178366,37190,172113,67168,4,11118,56050,1604,2323,52123,98750,4,30727,8,19470,11258,195300,7,11265,1818,1625,933,5029,22250,11008,20435,12694,14520,93724
0100000US,,United States,326140,Polystyrene foam product manufacturing,2009,25464,2,945164,281754,2,116356,7555,17843,140000,20888,41676,633236,3915026,2,3150883,530174,17907,71582,3,1979499,144480,2,S,S,7772050,2,7036161,44013,735890,714898,8814(s),12178(s),3809758,2,735401,2,430852,2,58197,10,246352,3,785159,470135,72188,242836,133540,6,11766,121773,1902,2400,117472,216058,2,96180,3,81023,15157,650741,4,57084,1962,1383(s),2217(s),8477,76979,16371,4581,51970,39164,390554
0100000US,,United States,326150,Urethane and other foam product (except polystyrene) manufacturing,2009,25486,2,984793,291885,2,124188,5769,23594,138334,19417,35721,577960,4128847,1,3827058,171410,25875,32744,4,873338,71760,2,D,S,7166251,1,6917611,325504,248640,234522,1339,12779,2981085,2,673665,1,241087,2,90796,2,341781,2,788383,287933,102958,397493,155977,8,31192,124785,3843,7598,113344,189252,2,99495,3,80876,18619,588830,3,53264,3038,2992,4403,9484,44566,14620,10487,23639,31213,391125
0100000US,,United States,326160,Plastics bottle manufacturing,2009,32329,1,1331812,412640,1,171239,18809,24441,198151,28054,60057,1029718,5988153,1,5493467,D,D,21255,4,6233874,436848,1,D,S,10906974,1,D,378640,D,30403,9752,D,4878073,1,901320,1,460430,1,82871,3,358019,2,914152,500896,78217,335040,547208,10,45600,501607,2271,4642,494695,562075,1,210891,2,177728,33163,881509,4,83717,2788,609,4262,10861,135295,19613,2638,14579,62257,544890
0100000US,,United States,32619M,Other plastics product manufacturing,2009,328188,1,12514173,3506876,2,1499530,87118,242712,1677516,247428,490502,7377786,33232138,2,28855383,2271330,508303,220617,3,18823052,1376505,1,13631,D,70376197,1,66908020,1798855,3468178,3164599,137672,165907,36639972,1,7426732,1,3758279,1,741474,3,2926979,1,8293002,4220322,813952,3258727,2352158,3,259859,2092300,38049,91323,1962928,2637851,1,1016440,1,786338,230102,7978598,2,878324,50213,35375,53919,123587,754721,189965,282158,433989,328686,4847660
0100000US,,United States,32621M,Tire manufacturing,2009,50849,1,2607588,1067274,1,408348,78989,76648,503289,40952,80936,1960349,8771026,1,7535950,800180,46921,155272,1,3885932,232703,1,D,D,15975401,1,14840563,280138,1134838,1023322,54377,57139,7163288,1,1265655,1,637091,2,179219,1,449346,3,1475290,697563,166383,611344,517199,2,97799,419400,3506,14293,401601,596334,1,62070,2,27142,34928,1160515,1,199685,12064,6121,12546,9526,106264,61651,15716,58049,55120,623773
0100000US,,United States,326220,Rubber and plastics hoses and belting manufacturing,2009,16524,2,671855,216709,2,94259,10219,20204,92028,12510,23740,407386,1805046,3,1601200,114007,14389,27494,4,666768,47957,2,D,113(s),3724899,2,3548566,224110,176333,162468,D,D,1883282,3,498611,3,287098,4,67162,5,144351,3,586984,330352,79927,176705,120085,18,20229,99855,1818,7569,90468,112893,1,27877,5,22059,5817,427470,3,21322,3703,2540,8922,9085,35605,15703,6967,15448,16267,291908
0100000US,,United States,32629M,Other rubber product manufacturing,2009,55676,3,2180033,639455,2,278327,25860,49330,285938,41675,81261,1297715,6793885,1,5626329,818301,87529,79951,4,2478377,181775,1,D,S,12800409,1,11746559,1286879,1053851,964184,D,D,5903462,2,1230303,2,473548,3,182683,2,574072,4,1446818,562164,200848,683805,238311,5,42761,195550,5969,9021,180559,372144,3,110000,3,84949,25051,964579,4,84329,6028,4278,7060,19943,89722,31425,19557,66871,44927,590440
0100000US,,United States,327111,Vitreous china plumbing fixture and china and earthenware bathroom accessories manufacturing,2009,g,S,99460,D,S,D,1802,1074,18156,D,D,D,D,S,D,12323,122,D,S,D,D,S,S,S,D,S,D,S,D,D,S,S,168653,5,62303,6,45730,S,D,S,D,S,69748,D,D,D,D,S,D,D,D,5,D,10118,3,4053,1,2797,1257,29036,1,D,D,D,D,501,344,1760,D,1676,D,D
0100000US,,United States,327112,"Vitreous china, fine earthenware, and other pottery product manufacturing",2009,5711,9,169441,D,S,D,2354,2255,26290,4536,7783,D,D,S,D,20168,5449,D,S,D,D,S,S,S,D,S,546613,D,D,D,D,D,419301,8,105349,2,46864,S,D,S,D,S,124407,D,D,D,D,S,D,D,D,410,D,15220,4,10953,21,10331,622,117571,8,D,D,D,533,1775,6966,4190,14540,5880,5638,73175
0100000US,,United States,327113,Porcelain electrical supply manufacturing,2009,h,S,204471,52963,3,25380,2740,2730,22112,D,D,121448,269865,2,170370,57007,5332,18731,3,234481,18425,7,S,S,715591,3,D,D,D,D,S,D,447580,3,122576,4,55525,3,25588,14,41463,6,126422,55898,26002,44522,35832,15,6957(s),28876,226,801,27848,32769,3,5896,19,5022,874,95092,7,4735,2139,D,D,1422,9753,4846,D,3792,D,D
0100000US,,United States,327121,Brick and structural clay tile manufacturing,2009,7136,6,266128,82409,4,34317,4425,4183,39484,5532,10846,187510,358432,6,144878,28733,3835,137860,6,582409,43125,4,D,S,1121285,5,1075465,318,45820,D,S,D,602060,9,376818,6,313735,6,9704,6,53378,14,539952,455010,13777,71164,114156,5,27929,86226,2132,3901,80194,141520,3,8239,5,2392,5847,161448,8,4164,696,171,298,2383,27276,3325,1728,5809,18841,96757
0100000US,,United States,327122,Ceramic wall and floor tile manufacturing,2009,4123,10,156970,39660,12,11394,1641(s),1858,24767,3255,5934,104758,287958,10,143682,86317,6424,31874,7,267006,19661,5,S,S,906853,7,787833,7507,119020,119020,S,S,589866,7,137814,10,91356,13,5670,16,40788,6,170362,118207,7049,45106,29824,23,6061,23763,119,517,23128,18720,10,11333,3,6610,4724,104954,5,5294,752,117,136,940,25920,8666,2817,2477,3314,54520
0100000US,,United States,327123,Other structural clay product manufacturing,2009,1161,3,49254,15361,2,5102,125(s),1191,8943,844,1671,29170,45970,6,24491,6409,873,10284,7,43168,3912,3,S,S,151412,5,D,S,D,D,D,D,110322,5,64443,2,49107,2,3370,3,11966,2,59953,45975,2360,11618,8394,1,3177,5217,153(s),387,4676,12346,1,2029,2,1168,861,14218,3,1677,68,91(s),37,356,1229,334,1403,1147,1458,6418
0100000US,,United States,32712N,Refractory manufacturing,2009,7003,4,342411,114182,3,49297,6772,9972,48141,4978,10059,211980,1086206,3,880083,89854,13035,65092,4,503328,38141,2,S,D,2203615,2,2063616,150338,139999,D,D,D,1058050,4,412089,4,169682,9,45502,3,196905,6,579130,210788,65327,303016,35606,6,4894,30711,606,1257,28848,66643,5,16790,7,9505,7285,137896,5,12662,705,764,1932,2672,23682,8939,1196,9869,8137,67339
0100000US,,United States,327211,Flat glass manufacturing,2009,8706,1,420485,135828,1,51591,2736,15036,66465,6829,14284,292787,1350876,1,849214,50547,12144,319180,1,1789991,119791,1,S,S,2584128,1,D,D,D,D,S,D,1173217,1,391324,1,259189,1,32276,1,99859,1,452507,313000,38500,101007,114252,1,1930,112322,2263,577,109482,185410,1,9902,1,6132,3770,338063,1,16604,722,388,4167,3738,41104,29069,1323,11020,21517,208411
0100000US,,United States,327212,Other pressed and blown glass and glassware manufacturing,2009,16908,1,775318,299238,2,124141,19475,17229,138394,13839,28080,549810,1519440,4,960059,134160(s),22269,252171,3,2597122,150781,2,D,D,3825383,2,3645402,472893,179981,D,D,D,2195927,2,589589,4,358617,3,92435,13,138536,3,683948,429272,117585,137091,126515,11,18132,108382,297,1194,106891,264354,1,45005,3,26130,18875,445745,4,20483,1942,968,5169,5501,42091,38997,2614,24443,20141,283397
0100000US,,United States,327213,Glass container manufacturing,2009,14364,1,849099,362679,1,185484,27761,12817,136616,12335,25631,683825,2066672,1,1433899,6799,11718,384045,1,3989850,230211,1,S,S,5178825,1,D,D,D,D,S,D,3097471,1,640195,1,506207,1,3699,2,130289,1,662725,529856,4669,128201,270136,1,13023,257113,225,1400,255488,247176,1,43357,1,17396,25961,396886,1,4357,1473,320,1119,2771,159470,13243,1129,7408,24874,180722
0100000US,,United States,327215,Glass product manufacturing made of purchased glass,2009,40805,3,1758879,546419,3,220643,18367,46403,261005,30483,61244,1105552,4158578,2,3636296,185532,76096,50946,11,2877826,209707,2,D,S,8814349,2,8508657,809570,305693,D,D,D,4576620,3,883486,3,301669,2,123895,2,457922,4,1007391,367597,138276,501518,278651,5,26496,252155,5524,8213,238417,370515,1,103051,4,75382,27669,999346,5,70382,5008,2900,7805,17088,99533,52173,10742,49978,48160,635577
0100000US,,United States,327310,Cement manufacturing,2009,14571,2,882600,309875,2,138117,19176,27803,124779,10916,21589,604633,2179959,4,853125,148394,107809,522394,1,8685211,548237,1,D,D,5946329,2,5768300,159641,178029,D,S,D,3556305,2,1317976,2,274224,4,286445,2,757307,3,1755284,379805,387391,988088,1084177,1,39348,1044829,14019,14955,1015855,884285,1,32558,7,7177,25381,757481,2,23703,9048,1044,4168,8422,210673,15995,3449,64005,118534,298442
0100000US,,United States,327320,Ready-mix concrete manufacturing,2009,80584,2,3318088,917179,2,368779,27526,58283,462591,65148,129908,2532279,10305945,3,9657712,235592,76753,210474,4,1549187,125414,4,D,D,19942048,3,19469728,116060,472319,D,D,D,9561702,3,728395,5,289006,7,32126,11,407263,7,825686,347982,48150,429553,460777,7,64441,396336,116782,15337,264217,899924,2,266511,5,116234,150277,1823270,3,23446,11646,8371,9555,46865,254774,52110,25971,69574,164259,1156699
0100000US,,United States,32733M,"Concrete pipe, brick, and block manufacturing",2009,26111,3,1102651,298492,3,120596,8352,19978,149566,17531,35425,630027,3068666,9,2351759,537652,56864(s),54818,6,834908,67573,9,S,S,6558255,3,5866179,11049,692076,D,D,D,3264506,6,948685,4,733414,4,18881,9,196389,5,1201464,937337,29431,234696,197785,7,28178,169607,19537,13680,136389,376514,3,87482,4,44006,43476,820623,4,34491,4005,1071,4143,14217,107903,18545,39981,43607,56778,495882
0100000US,,United States,327390,Other concrete product manufacturing,2009,48748,2,1956184,511549,2,191479,17585,33011,269475,36136,73756,1168182,3513687,1,2915050,242417,202316,68527,9,1067122,85378,9,D,S,8945902,1,8447627,42306,498274,D,D,D,5259624,2,808171,3,507124,3,53721,22,247326,3,1042660,635254,91984,315421,275573,3,65399,210174,27282,10033,172860,337997,2,163855,3,85572,78283,1497655,3,69002,5662,4409,4156,23595,124398,46972,22257,141377,72666,983161
0100000US,,United States,327410,Lime manufacturing,2009,4239,1,228483,67947,1,28786,680,3386,35094,3514,6941,172379,767342,4,294319,1353,73013,307696,1,1721189,90961,1,S,S,1844653,1,D,46486,D,D,S,D,1078833,3,193694,1,68338,1,4711,1,120645,1,206210,65997,5185,135028,106544,1,10101,96443,833,330,95280,163492,1,25293,1,4257,21036,102250,1,3559,712,63,115,2033,34297,4165,461,7690,15785,33370
0100000US,,United States,327420,Gypsum product manufacturing,2009,8504,1,417989,137861,1,54101,13665,5862,64233,6742,13186,289196,1998903,1,1420634,150484,12992,309080,1,1343007,105713,1,D,S,3415219,1,3229992,63123,185227,D,S,D,1410578,1,242892,1,77666,1,15722,1,149504,1,281928,85985,12626,183317,113941,1,32447,81494,310,155,81029,234575,1,27695,3,7190,20506,216544,1,2412,1633,361,1755,2908,29802,9076,276,6636,28390,133294
0100000US,,United States,327910,Abrasive product manufacturing,2009,11306,3,576018,182475,2,75210,11827,13230,82208,7856,15071,274533,1049532,3,808591,143020,16461,29833,2,891999,51627,2,S,S,3561245,2,3329393,97151,231852,D,D,D,2484971,3,496421,3,190874,7,131399,3,174147,4,562475,200712,143544,218219,91819,1,13417,78402,383,3481,74538,102119,2,23367,5,18338,5029,346147,5,4975,3938,2844,5206,5576,35590,16309,5768,32533,10304,223105
0100000US,,United States,327991,Cut stone and stone product manufacturing,2009,22707,3,854608,190207,4,66857,6203,9753,107395,16384,31680,544239,1020780,3,859631,41332,67913,20526,8,423928,31379,3,S,S,2887221,3,D,14004,D,D,D,D,1841815,3,417983,2,149936,3,54758,9,213289,4,474288,163956,54687,255644,71398,8,4818,66580,8766,4907,52907,107867,5,63216,6,53494,9722,346766,5,5392,2249,756,2488,12133,31334,11267,22199,25554,22646,210746
0100000US,,United States,327992,Ground or treated mineral and earth manufacturing,2009,6268,1,311507,92147,2,37554,4823,6916,42854,4421,9217,202290,1289980,4,1000549,23521,32226,132384,1,1403396,101301,7,S,S,3053071,2,D,565991,D,D,D,D,1791052,3,488053,4,177539,2,62038,1,248477,8,486494,165426,60559,260508,140757,11,12905,127853,3289,2906,121657,123186,3,29664,3,16399,13265,375473,4,11392,2215,1246,2301,3748,64905,17397,1153,12106,22828,236183
0100000US,,United States,327993,Mineral wool manufacturing,2009,15933,3,785746,255752,3,110507,14434,17838,112972,12610,25243,564734,2060363,2,1531370,107567,18134,194858,1,3299753,208435,1,S,S,4668901,2,4527480,105243,141420,D,D,D,2556233,2,425903,2,232438,2,12446,12,181019,4,471759,279579,18614,173566,174184,5,51136,123048,714,4455,117880,255841,2,42826,12,32256,10570,466177,8,28591(s),2566,1455,5062,5955,45286,57339,1911,11240,29076,277696
0100000US,,United States,327999,All other miscellaneous nonmetallic mineral product manufacturing,2009,8695,2,394164,96302,4,32419,4960,8322,50601,5871,11940,226401,1336572,3,1081699,120034,30060,65540,3,522180,39238,2,S,S,3011102,4,2855187,51456,155915,D,D,D,1655067,5,268431,2,139944,3,26607,4,101880,2,316015,162374,23941,129700,70477,5,10548,59929,12554,2396,44980,89921,2,46489,6,20765,25724,274042,6,9218,756,289,1639,5344,36624,9114,10062,11874,15841,173281
0100000US,,United States,33111M,Iron and steel mills and ferroalloy manufacturing,2009,98204,1,6035673,2255595,1,1026608,183303,134371,911312,78479,150328,4465725,47378839,1,41328757,671095,939131,2211546,1,44566747,2228309,1,2511504,D,63865184,1,62372330,6925111,1492855,453136,216478,823241,14611783,1,11847313,1,3497778,1,2567673,1,5781862,1,16793040,4463635,3465193,8864211,2991069,1,450966,2540103,12677,32800,2494626,2445458,1,227369,1,37851,189519,6556174,1,216701,15289,111352,70517,28267,1158266,286589,9978,287057,222011,4150147
0100000US,,United States,331210,Iron and steel pipe and tube manufacturing from purchased steel,2009,17651,2,835992,309863,4,138955,17147,19063,134697,12576,24484,551826,4566349,3,4096220,138576,85159,104304,2,3383895,142091,4,S,S,6815216,3,6609611,201499,205605,157631,18078,29896,1946147,3,1745857,3,590754,3,268426,4,886677,3,2370739,834723,351308,1184708,280311,2,30001,250310,2918,9871,237521,203617,2,34549,3,18632,15917,485416,6,25352,4429,1847,2534,7652,75710,18838,2331,27101,31632,287989
0100000US,,United States,33122M,Rolling and drawing of purchased steel,2009,21042,2,959113,309155,2,137191,12088,21813,138064,15898,30704,621552,6640660,3,6217351,150287,66803,73290,4,1885957,132928,2,D,S,8700479,4,8343713,462624,356766,241604,41269,73892,1751355,18,1453766,6,353338,38,315925,2,784503,7,2204876,610552,391494,1202830,177016,6,39986,137030,1393,3836,131801,268021,2,72142,16,52782,19360,581361,5,12364,2816,7501,3331,7631,72039,23857,6159,24129,30677,390857
0100000US,,United States,331311,Alumina refining,2009,1488,1,103068,41600,1,23235,4692,2187,11486,1046,2262,60398,485923,1,339565,D,D,89137,1,217701,14821,1,D,S,746255,1,D,265766,D,D,D,D,251689,1,212662,1,34959,1,49179,1,128524,1,192652,34006,58775,99871,22113,1,1992,20121,D,D,19980,23527,1,9300,1,2292,7008,63179,1,1896,1427,101,447,889,26958,1756,36,9357,3826,16486
0100000US,,United States,331312,Primary aluminum production,2009,7544,1,457031,205583,1,100408,14797,10528,79850,5865,12558,319554,2876836,1,1935877,D,D,47586,1,20886678,835922,1,S,D,3758580,1,D,1091303,D,D,D,D,825938,1,453024,1,44294,1,80842,1,327888,1,708673,63301,118897,526475,110589,1,4770,105819,D,D,104019,188434,1,17581,1,2181,15400,329703,1,4276,1759,1084,1243,2137,33146,15411,322,25788,21145,223392
