GEO.id,GEO.id2,GEO.display-label,NAICS.id,NAICS.display-label,YEAR.id,EMP,EMP_S,PAYANN,PAYANN_S,BENEFIT,BENEFIT_S,BENHEA,BENHEA_S,BENPEB,BENPEB_S,BENPEC,BENPEC_S,BENOTH,BENOTH_S,EMPAVPW,EMPAVPW_S,HOURS,HOURS_S,PAYANPW,PAYANPW_S,CSTMTOT,CSTMTOT_S,CSTMPRT,CSTMPRT_S,CSTRSL,CSTRSL_S,CSTFU,CSTFU_S,CSTELEC,CSTELEC_S,CSTCNT,CSTCNT_S,ELECPCH,ELECPCH_S,ELECGEN,ELECGEN_S,ELECSLD,ELECSLD_S,RCPTOT,RCPTOT_S,RCPTPLM,RCPTPLM_S,RCPTRAN,RCPTRAN_S,MSCTOT,MSCTOT_S,MSCRSLTT,MSCRSLTT_S,MSCCNTTT,MSCCNTTT_S,MSCOTH,MSCOTH_S,VALADD,VALADD_S,INVTOTB,INVTOTB_S,INVFINB,INVFINB_S,INVWIPB,INVWIPB_S,INVMATB,INVMATB_S,INVTOTE,INVTOTE_S,INVFINE,INVFINE_S,INVWIPE,INVWIPE_S,INVMATE,INVMATE_S,CEXTOT,CEXTOT_S,CEXBLD,CEXBLD_S,CEXMCH,CEXMCH_S,CEXMCHA,CEXMCHA_S,CEXMCHC,CEXMCHC_S,CEXMCHO,CEXMCHO_S,RPTOT,RPTOT_S,RPBLD,RPBLD_S,RPMCH,RPMCH_S,PCHTT,PCHTT_S,PCHTEMP,PCHTEMP_S,PCHCMPQ,PCHCMPQ_S,PCHEXSO,PCHEXSO_S,PCHDAPR,PCHDAPR_S,PCHCSVC,PCHCSVC_S,PCHRPR,PCHRPR_S,PCHRFUS,PCHRFUS_S,PCHADVT,PCHADVT_S,PCHPRTE,PCHPRTE_S,PCHTAX,PCHTAX_S,PCHOEXP,PCHOEXP_S
0100000US,,United States,3115,Dairy product manufacturing,2014,132346,0.3,6837593,0.3,2265590,0.5,1019309,0.8,212575,0.8,214022,0.9,819684,0.4,97613,0.6,202150,0.7,4606458,0.6,93171701,0.3,86693570,0.3,4759751,0.8,510542,1.3,832974,0.6,374863,1.1,10523147,0.8,34971,0.0,D,D,124783786,0.3,118710323,0.3,D,D,6073463,1.3,5621353,1.2,330503,13.0,121608,3.3,31755017,0.5,7209377,0.5,4518138,0.4,552944,1.0,2138295,0.8,7366400,0.4,4617494,0.4,596521,1.0,2152386,1.1,2546876,1.0,683815,1.8,1863061,1.0,61492,5.4,83918,2.1,1717651,0.9,449356,1.9,221801,7.5,227555,6.5,5630114,1.3,288247,4.8,23538,8.7,18100,5.9,24653,4.8,40836,1.9,848685,1.8,442372,1.6,342841,1.6,336186,3.4,240254,2.1,3024401,1.5
0100000US,,United States,31151,Dairy product (except frozen) manufacturing,2014,114132,0.3,6024343,0.3,1991040,0.5,902055,0.9,184691,0.8,193976,0.9,710318,0.4,83042,0.7,175481,0.8,3978033,0.7,88328730,0.3,82288628,0.3,4449336,0.9,492369,1.3,730534,0.6,367863,1.1,9250287,0.9,34971,0.0,D,D,116918194,0.3,111280484,0.3,4553918,0.0,5637709,1.4,5229976,1.3,292698,14.6,115036,3.5,28753066,0.5,6698775,0.5,4150254,0.4,547473,0.9,2001048,0.8,6894202,0.3,4272897,0.4,588432,0.9,2032873,0.5,2356191,1.1,652021,1.9,1704170,1.0,49972,5.3,77260,1.2,1576938,1.0,384376,2.2,173196,9.6,211181,7.0,4993602,1.4,240227,5.7,20713,8.0,15418,6.9,23111,5.0,36189,2.0,726184,2.0,384465,1.7,257559,1.9,317920,3.5,219611,2.2,2752205,1.5
0100000US,,United States,311511,Fluid milk manufacturing,2014,50694,0.5,2703029,0.6,901635,1.0,437666,1.8,83795,1.6,68580,2.1,311593,0.8,30935,1.8,64145,2.0,1524183,1.7,27751082,0.5,24468810,0.5,2675126,1.1,126489,4.9,277260,0.6,203396,1.6,3341240,0.7,32991,0.0,12157,0.0,40018688,0.4,36855253,0.5,1299514,0.0,3163435,1.4,3127289,1.4,D,D,D,D,12265375,0.8,1061491,2.2,547258,2.2,30523,3.9,483710,2.5,1057319,1.0,540419,1.0,35132,10.4,481768,1.3,914694,1.4,325856,1.2,588838,1.8,39581,6.7,53321,1.6,495936,1.8,180158,2.2,61521,2.7,118637,2.4,2421359,2.4,67682,7.1,6190,25.9,6894,14.9,12470,8.5,18503,3.2,368999,3.5,194350,2.2,179763,2.6,186586,5.7,123473,3.6,1256449,2.8
0100000US,,United States,311512,Creamery butter manufacturing,2014,1951,1.1,91936,0.9,35920,0.8,17127,0.5,4350,6.3,2358,3.6,12085,1.3,1426,1.3,2965,1.6,64350,1.0,3479832,0.9,3436150,0.9,D,D,12839,1.0,17213,0.7,D,D,214929,0.4,0,X,0,X,4031187,1.5,D,D,459846,0.0,D,D,D,D,D,D,D,D,598951,6.6,259387,1.5,216406,1.3,14828,1.8,28154,7.1,310395,0.6,266198,0.9,12633,3.2,31564,5.2,27771,7.0,3954,11.6,23817,6.3,76,6.6,224,0.0,23517,6.3,12141,1.0,9008,1.8,3133,1.6,76598,2.4,2723,8.7,24,26.0,56,0.0,201,0.0,633,7.3,22615,2.5,5612,2.8,644,0.0,8318,6.0,3798,1.2,31975,2.1
0100000US,,United States,311513,Cheese manufacturing,2014,46158,0.3,2343057,0.3,714314,0.5,312378,0.7,45474,1.1,83289,1.1,273173,0.5,39360,0.4,83657,0.5,1801426,0.5,41514692,0.3,39919182,0.3,976950,2.5,200488,0.5,281265,0.8,136807,1.8,3656372,0.6,D,D,0,X,50580411,0.4,49022471,0.3,1983500,0.0,1557940,3.2,1285088,3.9,174857,1.1,97995,1.1,9281968,0.6,3778122,0.3,2366215,0.4,418861,1.1,993046,0.5,4051258,0.3,2537738,0.4,463588,0.7,1049933,0.5,1077083,2.0,242875,4.6,834209,1.5,8401,2.5,18404,1.8,807403,1.5,106539,2.4,61004,4.1,45535,1.3,1509276,2.0,107324,4.8,10381,2.2,5951,2.3,6862,4.0,11878,2.9,193716,2.8,110689,4.0,60991,2.2,55472,4.1,59221,2.4,886790,2.1
0100000US,,United States,311514,"Dry, condensed, and evaporated dairy product manufacturing",2014,15329,1.2,886321,1.1,339171,0.7,134884,1.2,51072,0.7,39748,1.4,113467,1.1,11321,0.9,24714,0.8,588075,1.1,15583123,1.3,14464485,1.3,D,D,152552,0.9,154795,2.5,D,D,2037746,3.7,D,D,D,D,22287908,1.1,D,D,811058,0.0,D,D,D,D,86598(s),46.0(s),D,D,6606771,0.9,1599775,0.9,1020375,0.9,83262,2.0,496139,1.9,1475230,1.0,928543,1.2,77080,3.0,469608,1.0,336643,2.1,79336,4.8,257307,1.4,1914,1.4,5311,2.2,250082,1.4,85539,8.4,41663,39.2,43876,33.3,986370,2.5,62499,18.8,4118,7.5,2517,8.1,3577,10.2,5174,5.2,140854,2.8,73815,2.6,16162,4.4,67543,3.6,33120,1.9,576991,2.3
0100000US,,United States,31152,Ice cream and frozen dessert manufacturing,2014,18214,0.8,813251,0.9,274549,0.6,117253,1.2,27884,2.2,20046,2.3,109366,0.5,14572,0.9,26669,1.7,628425,0.7,4842971,1.4,4404943,1.6,310416,3.6,18173,2.1,102440,1.7,7000,5.7,1272860,1.0,0,X,0,X,7865592,0.7,7429839,0.7,D,D,435754,2.7,391377,2.6,37805,12.0,6572,11.7,3001951,1.8,510601,2.6,367884,2.6,5471,31.0,137247,4.0,472198,5.0,344597,2.1,8088,27.0,119513,18.3,190685,3.3,31794,2.0,158891,3.9,11520,17.0,6657,22.8,140713,2.8,64980,2.2,48605,2.5,16374,3.7,636512,3.5,48020,3.6,2825(s),43.2(s),2682,5.0,1542,11.7,4647,5.8,122502,3.3,57907,4.4,85282,3.1,18267,14.1,20643,9.0,272196,5.2
0100000US,,United States,311520,Ice cream and frozen dessert manufacturing,2014,18214,0.8,813251,0.9,274549,0.6,117253,1.2,27884,2.2,20046,2.3,109366,0.5,14572,0.9,26669,1.7,628425,0.7,4842971,1.4,4404943,1.6,310416,3.6,18173,2.1,102440,1.7,7000,5.7,1272860,1.0,0,X,0,X,7865592,0.7,7429839,0.7,D,D,435754,2.7,391377,2.6,37805,12.0,6572,11.7,3001951,1.8,510601,2.6,367884,2.6,5471,31.0,137247,4.0,472198,5.0,344597,2.1,8088,27.0,119513,18.3,190685,3.3,31794,2.0,158891,3.9,11520,17.0,6657,22.8,140713,2.8,64980,2.2,48605,2.5,16374,3.7,636512,3.5,48020,3.6,2825(s),43.2(s),2682,5.0,1542,11.7,4647,5.8,122502,3.3,57907,4.4,85282,3.1,18267,14.1,20643,9.0,272196,5.2
0100000US,,United States,3116,Animal slaughtering and processing,2014,472094,0.9,16184609,0.9,4332279,0.9,1969612,1.1,147959,2.2,235486,2.1,1979222,0.9,412552,0.9,858904,0.8,12549694,0.8,163239580,0.3,158438238,0.3,2373678,8.1,784036,1.1,1406215,0.7,237412,3.9,19735363,0.7,19729,25.8,1075,15.6,221170455,0.3,218115303,0.3,17487066,0.0,3055152,7.6,2769843,8.1,163203,34.6,122105,10.3,58229816,0.9,7442221,0.7,4200911,0.8,1204675,1.0,2036635,1.3,7791916,1.2,4486753,0.9,1217773,1.7,2087389,2.6,3970275,1.9,1032171,2.7,2938104,1.9,61932,3.4,52020,3.8,2824152,2.0,514391,3.0,235791,2.1,278600,5.2,8690875,1.6,662263,2.6,25822,4.3,15060,1.8,16020,5.9,42958,3.2,1281222,2.1,706128,2.1,286205,5.8,343247,2.3,242936,2.9,5069015,1.9
0100000US,,United States,31161,Animal slaughtering and processing,2014,472094,0.9,16184609,0.9,4332279,0.9,1969612,1.1,147959,2.2,235486,2.1,1979222,0.9,412552,0.9,858904,0.8,12549694,0.8,163239580,0.3,158438238,0.3,2373678,8.1,784036,1.1,1406215,0.7,237412,3.9,19735363,0.7,19729,25.8,1075,15.6,221170455,0.3,218115303,0.3,17487066,0.0,3055152,7.6,2769843,8.1,163203,34.6,122105,10.3,58229816,0.9,7442221,0.7,4200911,0.8,1204675,1.0,2036635,1.3,7791916,1.2,4486753,0.9,1217773,1.7,2087389,2.6,3970275,1.9,1032171,2.7,2938104,1.9,61932,3.4,52020,3.8,2824152,2.0,514391,3.0,235791,2.1,278600,5.2,8690875,1.6,662263,2.6,25822,4.3,15060,1.8,16020,5.9,42958,3.2,1281222,2.1,706128,2.1,286205,5.8,343247,2.3,242936,2.9,5069015,1.9
